T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
51,Armenia,2015,Major trading partner 3 (% of imports),Iran,,6.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2022,Major trading partner 3 (% of imports),Iran,,6.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
533,Aruba,2010,Major trading partner 1 (% of exports),Colombia,,27.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
533,Aruba,2015,Major trading partner 1 (% of exports),Colombia,,27.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
533,Aruba,2022,Major trading partner 1 (% of exports),Colombia,,49.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
533,Aruba,2010,Major trading partner 1 (% of imports),United States,,50.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
533,Aruba,2015,Major trading partner 1 (% of imports),United States,,54.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
533,Aruba,2022,Major trading partner 1 (% of imports),United States,,50.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
533,Aruba,2010,Major trading partner 2 (% of exports),United States,,6.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
533,Aruba,2015,Major trading partner 2 (% of exports),United States,,6.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
